step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
208,7,49,2,0,1,0,0,0,9,9
209,7,49,2,0,1,0,0,0,9,9
210,7,49,2,0,1,0,0,0,9,9
211,7,49,2,0,1,0,0,0,9,9
212,7,49,2,0,1,0,0,0,9,9
213,7,49,2,0,1,0,0,0,9,9
214,7,49,2,0,1,0,0,0,9,9
215,7,49,2,0,1,0,0,0,9,9
216,7,49,2,0,1,0,0,0,9,9
217,7,49,2,0,1,0,0,0,9,9
218,7,49,2,0,1,0,0,0,9,9
219,7,49,2,0,1,0,0,0,9,9
220,7,49,2,0,1,0,0,0,9,9
221,7,49,2,0,1,0,0,0,9,9
222,7,49,2,0,1,0,0,0,9,9
223,7,49,2,0,1,0,0,0,9,9
224,7,49,2,0,1,0,0,0,9,9
225,7,49,2,0,1,0,0,0,9,9
226,7,49,2,0,1,0,0,0,9,9
227,7,49,2,0,1,0,0,0,9,9
228,7,49,2,0,1,0,0,0,9,9
229,7,49,2,0,1,0,0,0,9,9
230,7,49,2,0,1,0,0,0,9,9
231,7,49,2,0,1,0,0,0,9,9
232,7,49,2,0,1,0,0,0,9,9
233,7,49,2,0,1,0,0,0,9,9
234,8,48,2,0,1,0,0,0,9,9
235,8,48,2,0,1,0,0,0,9,9
236,8,48,2,0,1,0,0,0,9,9
237,8,48,2,0,1,0,0,0,9,9
238,8,48,2,0,1,0,0,1,9,9
239,8,48,2,0,1,0,0,1,9,9
240,8,48,2,0,1,0,0,1,9,9
241,8,48,2,0,1,0,0,1,9,9
242,8,48,2,0,1,0,0,1,9,9
243,8,48,2,0,1,0,0,0,10,10
244,8,48,2,0,1,0,0,0,10,10
245,8,48,2,0,1,0,0,1,10,10
246,8,48,2,0,1,0,0,1,10,10
247,8,48,2,0,1,0,0,1,10,10
248,8,48,2,0,1,0,0,1,10,10
249,8,48,2,0,1,0,0,1,10,10
250,8,48,2,0,1,0,0,0,11,11
251,8,48,2,0,1,0,0,0,11,11
252,8,48,2,0,1,0,0,0,11,11
253,8,48,2,0,1,0,0,0,11,11
254,8,48,2,0,1,0,0,0,11,11
255,8,48,2,0,1,0,0,0,11,11
256,8,48,2,0,1,0,0,0,11,11
257,8,48,2,0,1,0,0,0,11,11
258,8,48,2,0,1,0,0,0,11,11
259,8,48,2,0,1,0,0,0,11,11
260,8,48,2,0,1,0,0,0,11,11
261,8,48,2,0,1,0,0,0,11,11
262,8,48,2,0,1,0,0,0,11,11
263,8,48,2,0,1,0,0,0,11,11
264,8,48,2,0,1,0,0,0,11,11
265,8,48,2,0,1,0,0,0,11,11
266,8,48,2,0,1,0,0,0,11,11
267,8,48,2,0,1,0,0,0,11,11
268,8,48,2,0,1,0,0,0,11,11
269,8,48,2,0,1,0,0,0,11,11
270,8,48,2,0,1,0,0,0,11,11
271,8,48,2,0,1,0,0,0,11,11
272,8,48,2,0,1,0,0,0,11,11
273,8,48,2,0,1,0,0,0,11,11
274,8,48,2,0,1,0,0,0,11,11
275,8,48,2,0,1,0,0,0,11,11
276,8,48,2,0,1,0,0,0,11,11
277,8,48,2,0,1,0,0,0,11,11
278,8,48,2,0,1,0,0,0,11,11
279,8,48,2,0,1,0,0,0,11,11
280,8,48,2,0,1,0,0,0,11,11
281,8,48,2,0,1,0,0,0,11,11
